"hts_code","custom_description"
"0901210020","Blackout (300g)"
"0901210020","Brazil, Rio Brilhante Tropicana Natural (300g)"
"0901210020","Colombia, Finca Milan ""Melona"" (200g)"
"0901210020","Ecuador, Angamaza Washed (300g)"
"0901210020","Ethiopia, Alo Coffee Mosto Anaerobic Natural (200g)"
"0901210020","Gamma (300g)"
"0901210020","Peru, Medina Toro Washed (300g)"
"0901210020","Stardust: Lychee - BOX (4 servings)"
"0901210020","Starlight (300g)"
"0901210020","Supernova (300g)"
"0901.21.0020","Roasted and Ground Coffee, packaged for retail."
"0901.21.0020","Whiskey Barrel Aged Single Origin Coffee - 12 oz / Whole Bean - 12 oz / Whole Bean"
"0901.21.00.20","Coffee"
"0901.21.00.20","Roasted coffee beans"
"0901.21.00.20","Roasted Coffee Beans"
"0901220040","Colombia, Decaf El Vergel Condor (300g)"
"0901.22.00.40","Roasted Coffee Beans"
"090122.00.40","Colombia, Decaf El Vergel Washed (300g)"
"0902.10.9015","Green tea bags, organic, box of 25"
"0902.10.90.50","Matcha"
"0902.30.0050","Lemon tea bags, tea"
"0902.30.0050","Red tea bags, herbal"
"2101.11.21.26","200 grams of coffee packaged in a glass jar"
"2101.11.21.26","200 grams of roasted ground coffee packaged in a glass jar"
"2101.11.21.31","200 grams of ground coffee packaged in a glass jar for <b>gifting</b>"
"2101.11.2949","2 x Marley Coffee Single Serve K-Cup Compatible <b>Capsules</b>, One Love 100% Ethiopian, Medium Roast, 24 Count"
"2101.11.2949","96 Count, Grove Square French Vanilla, Hot <b>Chocolate</b>, Halzelnut and Caramel Capuccino Coffee Pods, Keurig K-Cup Brewers"
"2101.11.2949","Boston's Best <b>Chocolate</b> Raspberry Single-Serve Coffee Pods - Bulk Pack of 72"
"2101.11.2949","Boston's Best <b>Chocolate</b> Raspberry Single-Serve Coffee Pods - Pack of 12"
"2101.11.2949","Ecaffe Caffitaly Cremoso Coffee <b>Capsules</b> - 10 Count Box"
"2101.11.2949","Grove Square Creamy Original Hot <b>Chocolate</b> Single-Serve Pods 48 count"
