query_id,canonical_hts_number,canonical_hts_digits,original_description,standardized_description,standardized_query,noise_flags,noise_score,quality_flags,quality_score,eval_eligible
std-4d0f0221fcea,0901.21.00.20,0901210020,Blackout (300g),Blackout (300g),blackout,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-062840a66bea,0901.21.00.20,0901210020,"Brazil, Rio Brilhante Tropicana Natural (300g)","Brazil, Rio Brilhante Tropicana Natural (300g)","brazil, rio brilhante tropicana natural",measure,1,no_semantic_overlap,55,
std-4c42f7ec726e,0901.21.00.20,0901210020,Coffee,Coffee,coffee,,0,low_token_count|weak_catalog_fragment,25,
std-e518c6db5c90,0901.21.00.20,0901210020,"Colombia, Finca Milan ""Melona"" (200g)","Colombia, Finca Milan ""Melona"" (200g)","colombia, finca milan melona",measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-a8a240c4b43c,0901.21.00.20,0901210020,"Ecuador, Angamaza Washed (300g)","Ecuador, Angamaza Washed (300g)","ecuador, angamaza washed",measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-fe1f80e949e2,0901.21.00.20,0901210020,Gamma (300g),Gamma (300g),gamma,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-ebd39e80fb05,0901.21.00.20,0901210020,"Peru, Medina Toro Washed (300g)","Peru, Medina Toro Washed (300g)","peru, medina toro washed",measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-111c0ce152de,0901.21.00.20,0901210020,Stardust: Lychee - BOX (4 servings),Stardust: Lychee - BOX (4 servings),stardust lychee box,count,1,no_semantic_overlap|weak_catalog_fragment,25,
std-79bd831c04f5,0901.21.00.20,0901210020,Starlight (300g),Starlight (300g),starlight,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-7e1633d87ea6,0901.21.00.20,0901210020,Supernova (300g),Supernova (300g),supernova,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-132855626b3f,0901.22.00.40,0901220040,"Colombia, Decaf El Vergel Condor (300g)","Colombia, Decaf El Vergel Condor (300g)","colombia, decaf el vergel condor",measure,1,no_semantic_overlap,55,
std-4d391b2595d2,0901.22.00.40,0901220040,"Colombia, Decaf El Vergel Washed (300g)","Colombia, Decaf El Vergel Washed (300g)","colombia, decaf el vergel washed",measure,1,no_semantic_overlap,55,
std-b83af4f25736,0902.10.90.50,0902109050,Matcha,Matcha,matcha,,0,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-6370a03f2f03,2101.11.29.49,2101112949,Grove Square Creamy Original Hot Chocolate Single-Serve Pods 48 count,Grove Square Creamy Original Hot Chocolate Single-Serve Pods 48 count,grove square creamy original hot chocolate single serve pods,html|count|options,3,no_semantic_overlap,55,
std-337b9978c75b,2101.11.29.49,2101112949,Grove Square Creamy Original Hot Chocolate Single-Serve Pods - Bulk Pack of 96,Grove Square Creamy Original Hot Chocolate Single-Serve Pods - Bulk Pack of 96,grove square creamy original hot chocolate single serve pods bulk,html|options,2,no_semantic_overlap,55,
std-83e9401115a9,2101.11.29.49,2101112949,keirig k cups,keirig k cups,keirig k cups,,0,no_semantic_overlap|weak_catalog_fragment,25,
