id,description,htsNumber,country,declaredValue,status,ai_baseDuty,hts_baseDuty,baseDiff,ai_totalDuty,hts_totalDuty,totalDiff,hts_mpf,hts_hmf,ai_formulas,hts_formula,notes
TC-001,Apparel CN - ad valorem 17.5% base + Section 301 7.5%,6203.11.60.00,CN,1000,ERROR,175,0,,350,0,,,,"{""base"":""value * 0.175"",""section_301"":""value * 0.075"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229833900-PWAH08"",""baseDuty"":175,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":175,""landedCost"":1175,""breakdown"":{""baseDuty"":175,""additionalTariffs"":[],""taxes"":[],""totalDuty"":175,""totalTax"":0,""landedCost"":1175},""formulaUsed"":""value * 0.175"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-002,Equine CA - free base rate,0101.90.30.00,CA,5000,ERROR,0,0,,0,0,,,,{},,"HTS error: {""calculationId"":""CALC-1775229833933-T6OZ32"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":5000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":5000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null} | AI: BLOCKED (Chapter 01 of the HTS Schedule covers live animals which cannot be shipped with Chit Chats. Please confirm your HTS Code to [purchase postage.](https://chitchats.com/admin/dashboards/overview?date=2026-03-23))"
TC-003,Footwear VN - high ad valorem 48%,6404.11.59.00,VN,500,ERROR,240,0,,290,0,,,,"{""base"":""value * 0.48"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229833936-H35LEF"",""baseDuty"":240,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":240,""landedCost"":740,""breakdown"":{""baseDuty"":240,""additionalTariffs"":[],""taxes"":[],""totalDuty"":240,""totalTax"":0,""landedCost"":740},""formulaUsed"":""value * 0.48"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-004,Coffee CO - specific rate 1.5 cents/kg,0901.90.20.00,CO,2000,ERROR,1.5,0,,201.5,0,,,,"{""base"":""weight * 0.015"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229835592-DJHXR9"",""baseDuty"":1.5,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":1.5,""landedCost"":2001.5,""breakdown"":{""baseDuty"":1.5,""additionalTariffs"":[],""taxes"":[],""totalDuty"":1.5,""totalTax"":0,""landedCost"":2001.5},""formulaUsed"":""weight * 0.015"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-005,Steel sheet CN - free base + Section 301 25%,7208.52.00.00,CN,10000,ERROR,0,0,,8500,0,,,,"{""base"":""0"",""section_301"":""value * 0.25"",""section_122"":""value * 0.100"",""static_metal_tariff"":""value * 0.5""}",,"HTS error: {""calculationId"":""CALC-1775229835626-YXE9Y5"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":10000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":10000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-006,Aluminum sheet CA - 6.5% base + possible Section 232,7606.12.60.00,CA,5000,ERROR,325,0,,3325,0,,,,"{""base"":""value * 0.065"",""section_122"":""value * 0.100"",""static_metal_tariff"":""value * 0.5""}",,"HTS error: {""calculationId"":""CALC-1775229837025-VV1WZ4"",""baseDuty"":325,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":325,""landedCost"":5325,""breakdown"":{""baseDuty"":325,""additionalTariffs"":[],""taxes"":[],""totalDuty"":325,""totalTax"":0,""landedCost"":5325},""formulaUsed"":""value * 0.065"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-007,Laptop/PC CN - free base + IEEPA tariff,8471.30.01.00,CN,3000,ERROR,0,0,,0,0,,,,"{""base"":""0""}",,"HTS error: {""calculationId"":""CALC-1775229838740-HRKUKI"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":3000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":3000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-008,Apparel KP - Column 2 rate (non-NTR),6203.11.60.00,KP,1000,ERROR,587.65,0,,687.65,0,,,,"{""base"":""(weight * 0.529) + (value * 0.585)"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229838806-9HBVJT"",""baseDuty"":175,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":175,""landedCost"":1175,""breakdown"":{""baseDuty"":175,""additionalTariffs"":[],""taxes"":[],""totalDuty"":175,""totalTax"":0,""landedCost"":1175},""formulaUsed"":""value * 0.175"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-009,Steel RU - Column 2 non-NTR rate,7208.52.00.00,RU,10000,ERROR,9000,0,,15000,0,,,,"{""base"":""(value * 0.20) + (value * 0.70)"",""section_122"":""value * 0.100"",""static_metal_tariff"":""value * 0.5""}",,"HTS error: {""calculationId"":""CALC-1775229838805-5AM668"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":10000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":10000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-010,"Auto parts MX - 2.5% base, USMCA candidate",8708.29.25.00,MX,2000,ERROR,50,0,,250,0,,,,"{""base"":""value * 0.025"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229838857-EPQ9BY"",""baseDuty"":50,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":50,""landedCost"":2050,""breakdown"":{""baseDuty"":50,""additionalTariffs"":[],""taxes"":[],""totalDuty"":50,""totalTax"":0,""landedCost"":2050},""formulaUsed"":""value * 0.025"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
