chapter,rank_in_chapter,hts8,api_hts_number,brief_description
01,1,01012100,0101.21.00,Live purebred breeding horses
01,2,01012900,0101.29.00,Live horses other than purebred breeding horses
01,3,01013000,0101.30.00,Live asses
01,4,01019030,0101.90.30,Mules and hinnies imported for immediate slaughter
01,5,01019040,0101.90.40,Mules and hinnies not imported for immediate slaughter
01,6,01022100,0102.21.00,Live purebred breeding cattle
01,7,01022920,0102.29.20,Cows imported specially for dairy purposes
01,8,01022940,0102.29.40,Live cattle other than purebred or those imported for dairy purposes
01,9,01023100,0102.31.00,Live purebred breeding buffalo
01,10,01023900,0102.39.00,"Live buffalo, other than purebred breeding animals"
01,11,01029000,0102.90.00,"Live bovine animals, other than cattle and buffalo"
01,12,01031000,0103.10.00,Live purebred breeding swine
01,13,01039100,0103.91.00,"Live swine, other than purebred breeding swine, weighing less than 50 kg each"
01,14,01039200,0103.92.00,"Live swine, other than purebred breeding swine, weighing 50 kg or more"
01,15,01041000,0104.10.00,Live sheep
01,16,01042000,0104.20.00,Live goats
01,17,01051100,0105.11.00,Live chickens weighing not over 185 g each
01,18,01051200,0105.12.00,Live turkeys weighing not more than over 185 g each
01,19,01051300,0105.13.00,"Live ducks, weighing not more than 185 g each"
01,20,01051400,0105.14.00,"Live geese, weighing not more than 185 g each"
02,1,02011005,0201.10.05,"Bovine carcasses and halves, fresh or chld., descr. in gen. note 15 of the HTS"
02,2,02011010,0201.10.10,"Bovine carcasses and halves, fresh or chld., descr. in add. US note 3 to Ch. 2"
02,3,02011050,0201.10.50,"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2"
02,4,02012002,0201.20.02,"High-qual. beef cuts w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"
02,5,02012004,0201.20.04,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"
02,6,02012006,0201.20.06,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in gen. note 15 of the HTS"
02,7,02012010,0201.20.10,"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
02,8,02012030,0201.20.30,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
02,9,02012050,0201.20.50,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"
02,10,02012080,0201.20.80,"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"
02,11,02013002,0201.30.02,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"
02,12,02013004,0201.30.04,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"
02,13,02013006,0201.30.06,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in gen. note 15 of the HTS"
02,14,02013010,0201.30.10,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
02,15,02013030,0201.30.30,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"
02,16,02013050,0201.30.50,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"
