chapter,rank_in_chapter,hts8,api_hts_number,country_code,entry_date,example_payload
01,1,01012100,0101.21.00,CN,2026-01-15,"{""htsNumber"":""0101.21.00"",""countryOfOrigin"":""CN"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,1,01012100,0101.21.00,CA,2026-01-15,"{""htsNumber"":""0101.21.00"",""countryOfOrigin"":""CA"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,1,01012100,0101.21.00,EU,2026-01-15,"{""htsNumber"":""0101.21.00"",""countryOfOrigin"":""EU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,1,01012100,0101.21.00,JP,2026-01-15,"{""htsNumber"":""0101.21.00"",""countryOfOrigin"":""JP"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,1,01012100,0101.21.00,RU,2026-01-15,"{""htsNumber"":""0101.21.00"",""countryOfOrigin"":""RU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,2,01012900,0101.29.00,CN,2026-01-15,"{""htsNumber"":""0101.29.00"",""countryOfOrigin"":""CN"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,2,01012900,0101.29.00,CA,2026-01-15,"{""htsNumber"":""0101.29.00"",""countryOfOrigin"":""CA"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,2,01012900,0101.29.00,EU,2026-01-15,"{""htsNumber"":""0101.29.00"",""countryOfOrigin"":""EU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,2,01012900,0101.29.00,JP,2026-01-15,"{""htsNumber"":""0101.29.00"",""countryOfOrigin"":""JP"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,2,01012900,0101.29.00,RU,2026-01-15,"{""htsNumber"":""0101.29.00"",""countryOfOrigin"":""RU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,3,01013000,0101.30.00,CN,2026-01-15,"{""htsNumber"":""0101.30.00"",""countryOfOrigin"":""CN"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,3,01013000,0101.30.00,CA,2026-01-15,"{""htsNumber"":""0101.30.00"",""countryOfOrigin"":""CA"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,3,01013000,0101.30.00,EU,2026-01-15,"{""htsNumber"":""0101.30.00"",""countryOfOrigin"":""EU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,3,01013000,0101.30.00,JP,2026-01-15,"{""htsNumber"":""0101.30.00"",""countryOfOrigin"":""JP"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,3,01013000,0101.30.00,RU,2026-01-15,"{""htsNumber"":""0101.30.00"",""countryOfOrigin"":""RU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,4,01019030,0101.90.30,CN,2026-01-15,"{""htsNumber"":""0101.90.30"",""countryOfOrigin"":""CN"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,4,01019030,0101.90.30,CA,2026-01-15,"{""htsNumber"":""0101.90.30"",""countryOfOrigin"":""CA"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,4,01019030,0101.90.30,EU,2026-01-15,"{""htsNumber"":""0101.90.30"",""countryOfOrigin"":""EU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,4,01019030,0101.90.30,JP,2026-01-15,"{""htsNumber"":""0101.90.30"",""countryOfOrigin"":""JP"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,4,01019030,0101.90.30,RU,2026-01-15,"{""htsNumber"":""0101.90.30"",""countryOfOrigin"":""RU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,5,01019040,0101.90.40,CN,2026-01-15,"{""htsNumber"":""0101.90.40"",""countryOfOrigin"":""CN"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,5,01019040,0101.90.40,CA,2026-01-15,"{""htsNumber"":""0101.90.40"",""countryOfOrigin"":""CA"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,5,01019040,0101.90.40,EU,2026-01-15,"{""htsNumber"":""0101.90.40"",""countryOfOrigin"":""EU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,5,01019040,0101.90.40,JP,2026-01-15,"{""htsNumber"":""0101.90.40"",""countryOfOrigin"":""JP"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,5,01019040,0101.90.40,RU,2026-01-15,"{""htsNumber"":""0101.90.40"",""countryOfOrigin"":""RU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,6,01022100,0102.21.00,CN,2026-01-15,"{""htsNumber"":""0102.21.00"",""countryOfOrigin"":""CN"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,6,01022100,0102.21.00,CA,2026-01-15,"{""htsNumber"":""0102.21.00"",""countryOfOrigin"":""CA"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,6,01022100,0102.21.00,EU,2026-01-15,"{""htsNumber"":""0102.21.00"",""countryOfOrigin"":""EU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,6,01022100,0102.21.00,JP,2026-01-15,"{""htsNumber"":""0102.21.00"",""countryOfOrigin"":""JP"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,6,01022100,0102.21.00,RU,2026-01-15,"{""htsNumber"":""0102.21.00"",""countryOfOrigin"":""RU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,7,01022920,0102.29.20,CN,2026-01-15,"{""htsNumber"":""0102.29.20"",""countryOfOrigin"":""CN"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,7,01022920,0102.29.20,CA,2026-01-15,"{""htsNumber"":""0102.29.20"",""countryOfOrigin"":""CA"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,7,01022920,0102.29.20,EU,2026-01-15,"{""htsNumber"":""0102.29.20"",""countryOfOrigin"":""EU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,7,01022920,0102.29.20,JP,2026-01-15,"{""htsNumber"":""0102.29.20"",""countryOfOrigin"":""JP"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,7,01022920,0102.29.20,RU,2026-01-15,"{""htsNumber"":""0102.29.20"",""countryOfOrigin"":""RU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,8,01022940,0102.29.40,CN,2026-01-15,"{""htsNumber"":""0102.29.40"",""countryOfOrigin"":""CN"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,8,01022940,0102.29.40,CA,2026-01-15,"{""htsNumber"":""0102.29.40"",""countryOfOrigin"":""CA"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,8,01022940,0102.29.40,EU,2026-01-15,"{""htsNumber"":""0102.29.40"",""countryOfOrigin"":""EU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,8,01022940,0102.29.40,JP,2026-01-15,"{""htsNumber"":""0102.29.40"",""countryOfOrigin"":""JP"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,8,01022940,0102.29.40,RU,2026-01-15,"{""htsNumber"":""0102.29.40"",""countryOfOrigin"":""RU"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
01,9,01023100,0102.31.00,CN,2026-01-15,"{""htsNumber"":""0102.31.00"",""countryOfOrigin"":""CN"",""entryDate"":""2026-01-15"",""declaredValue"":1000}"
